Title,Stream,Week,Stage,Role,Effort,Depends on,Acceptance criteria
Run Compass OS kick-off workshop,Compass,1,1,BA,M,,Goals success metrics and risks captured | Stream owners named | Decisions log opened
Provision Compass-owned accounts (Supabase Vercel Twilio Meta WhatsApp OpenAI Resend GitHub Notion),Compass,1,1,DevOps,M,Run Compass OS kick-off workshop,All accounts billed to Compass | Owner plus 2nd admin on each | Credentials in shared 1Password vault
Stand up monorepo with apps/web apps/bruce apps/agent packages/db packages/ui,A,1,1,Engineer,M,Provision Compass-owned accounts (Supabase Vercel Twilio Meta WhatsApp OpenAI Resend GitHub Notion),Repo builds clean on CI | Shared lint format tsconfig | README explains each app
Stand up Supabase project with tenant_id and RLS baseline,A,1,1,Engineer,L,Stand up monorepo with apps/web apps/bruce apps/agent packages/db packages/ui,tenants users memberships tables exist | RLS enforces tenant isolation | Smoke test proves cross-tenant read is blocked
Define brand tokens and component library shell,A,1,1,Frontend Designer,M,Stand up monorepo with apps/web apps/bruce apps/agent packages/db packages/ui,Color type spacing tokens live in packages/ui | Storybook running | Button Input Card Layout shells in place
Draft information architecture for Web app and Agent space,A,1,1,BA,M,Run Compass OS kick-off workshop,IA diagram covers buyer agent admin views | Reviewed with Chris | Saved to Notion
Set up Twilio or Meta WhatsApp sandbox number,B,1,1,DevOps,S,Provision Compass-owned accounts (Supabase Vercel Twilio Meta WhatsApp OpenAI Resend GitHub Notion),Sandbox number receives and replies to hello via webhook | Webhook secret stored in env
Write Bruce persona and conversation principles,B,1,1,Copywriter,S,Run Compass OS kick-off workshop,One-pager covers tone do/don't escalation rules | Signed off by Chris
Create Compass OS ticket board in Notion,Compass,1,1,BA,S,Run Compass OS kick-off workshop,Database has Title Stream Stage Week Role Effort Depends on Status Acceptance | Views by week stream status
Model core entities (buyer brief property shortlist note message agent),A,2,1,Engineer,L,Stand up Supabase project with tenant_id and RLS baseline,ER diagram approved | Migrations applied | Seed script populates demo tenant
Implement Supabase auth with email and magic link,A,2,1,Engineer,M,Stand up Supabase project with tenant_id and RLS baseline,Sign-in page works in dev | New users land in correct tenant | Auth state persists across reloads
Build app shell (nav top bar empty states) for Web app,A,2,1,Frontend Designer,M,Define brand tokens and component library shell + Draft information architecture for Web app and Agent space,Logged-in shell renders with placeholder routes | Mobile and desktop layouts pass design review
Build Bruce inbound webhook and message store,B,2,1,Engineer,M,Set up Twilio or Meta WhatsApp sandbox number + Model core entities (buyer brief property shortlist note message agent),Inbound WhatsApp messages persist to messages table | Idempotent on retries | Logged with provider message id
Wire Bruce reply pipeline (echo only no LLM yet),B,2,1,Engineer,S,Build Bruce inbound webhook and message store,Sandbox number echoes user input | Reply visible in Supabase | Errors surface to logs
Sketch Agent space layout (inbox briefs properties board),C,2,1,Frontend Designer,M,Draft information architecture for Web app and Agent space,Lo-fi wireframes for 4 core screens | Reviewed with Chris | Captured in Figma
Schedule Monday Compass catch-up cadence (30 min weekly),Compass,2,1,BA,S,Run Compass OS kick-off workshop,Recurring calendar invite | Standing agenda template | First 4 weeks pre-booked
